Linux 3.0.101-0.15-default (axle) 	11/22/2014 	_x86_64_

12:57:00 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:58:00 AM     all     19.24      0.00      3.30      0.01      0.00     77.45
12:59:00 AM     all     10.35      0.00      1.74      0.00      0.00     87.91
01:00:00 AM     all      5.73      0.00      1.47      0.00      0.00     92.80
01:01:00 AM     all      5.74      0.00      1.04      0.00      0.00     93.22
01:02:00 AM     all      5.74      0.00      0.95      0.00      0.00     93.32
01:03:00 AM     all     13.32      0.00      3.06      0.00      0.00     83.63
01:04:00 AM     all      8.83      0.00      0.33      0.00      0.00     90.83
01:05:00 AM     all      5.08      0.00      1.21      0.00      0.00     93.71
01:06:00 AM     all     15.88      0.00      2.20      0.00      0.00     81.91
01:07:00 AM     all     11.43      0.00      0.68      0.00      0.00     87.90
01:08:00 AM     all      6.16      0.00      0.17      0.00      0.00     93.67
01:09:00 AM     all      5.72      0.00      0.38      0.00      0.00     93.90
