# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416615028;48491788;216032636;81.67;269436;12658060;207631780;76.08
axle;60;1416615088;48023480;216500944;81.85;269500;12684424;208075940;76.24
axle;60;1416615148;45109988;219414436;82.95;269572;14734444;208923640;76.55
axle;60;1416615208;46505896;218018528;82.42;269636;14789340;207473140;76.02
axle;60;1416615268;46358388;218166036;82.47;269696;14791024;207626288;76.08
axle;60;1416615328;44717148;219807276;83.10;269824;16590732;207471316;76.02
axle;60;1416615388;44704768;219819656;83.10;269876;16592024;207471316;76.02
axle;60;1416615448;42385608;222138816;83.98;269972;18904552;207481704;76.03
axle;60;1416615508;42396128;222128296;83.97;270020;18905492;207470204;76.02
