Linux 3.0.101-0.15-default (axle) 	11/22/2014 	_x86_64_

01:09:28 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:10:28 AM     all      6.25      0.00      6.92      0.04      0.00     86.78
01:11:28 AM     all      7.22      0.00      6.18      0.00      0.00     86.59
01:12:28 AM     all      4.87      0.00      1.91      0.00      0.00     93.22
01:13:28 AM     all      4.88      0.00      1.45      0.00      0.00     93.66
01:14:28 AM     all      5.40      0.00      0.92      0.00      0.00     93.67
01:15:28 AM     all      4.28      0.00      2.14      0.00      0.00     93.58
01:16:28 AM     all      6.02      0.00      0.25      0.00      0.00     93.73
01:17:28 AM     all      4.28      0.00      2.09      0.00      0.00     93.63
01:18:28 AM     all      4.81      0.00      1.53      0.00      0.00     93.66
